Area,ID,Constructed,Location,PlayType,Maintain,Site,Ward,long,lat
Cardigan,306914,2021/3/24,Playground - Mullawallah Wetlands (Opposite Honey Eater Drive)Cardigan,PG-Playground,City of Ballarat,Mullawallah Wetlands,North,143.7827489,-37.57072302
Mount Pleasant,262126,2014/5/20,"Playground - Mount Pleasant Reserve, 900 Barkly St Mt Pleasant",PG-Playground,City of Ballarat,Mount Pleasant Reserve,Central,143.8517923,-37.57789261
Mount Pleasant,306051,2020/12/1,Seniors Exercise Playspace - Mount Pleasant Reserve Mount Pleasant,PG-Exercise Equipment,City of Ballarat,Mount Pleasant Reserve,Central,143.8515421,-37.57757004
Sebastopol,36606,2000/1/1,Playground - N F Donald Park (Neville Donald Park) Albert St Sebastopol,PG-Playground,City of Ballarat,N F Donald Park (Neville Donald Park),South,143.841464,-37.5975068
Golden Point,36949,1995/1/1,Playground - Pearces Park,PG-Playground,City of Ballarat,Pearces Park,Central,143.8587427,-37.57405919
Black Hill,36951,2003/1/1,Playground - Peel Street Park,PG-Playground,City of Ballarat,Peel Street Park,Central,143.8672449,-37.5494499
Ballarat East,258895,2015/12/18,Playground - Pennnyweight Park,PG-Playground,City of Ballarat,Pennyweight Park,South,143.875678,-37.57037261
Ballarat North,36953,2005/1/1,Playground - Pinewood Drive Reserve Ballarat North,PG-Playground,City of Ballarat,Pinewood Drive Reserve,North,143.8708525,-37.53425381
Redan,36956,2004/1/1,Playground - Pleasant Street Reserve Redan,PG-Playground,City of Ballarat,Pleasant Street Reserve,South,143.8350634,-37.57181197
Invermay Park,36965,1997/1/1,Playground - Rizel Park,PG-Playground,City of Ballarat,Rizal Park,North,143.8580534,-37.52426447
Wendouree,220799,2013/6/1,Playground - Romney Street Reserve Wendouree,PG-Playground,City of Ballarat,Romney Street Reserve,North,143.8263398,-37.53045394
Brown Hill,36982,2000/1/1,Playground - Russell Square,PG-Playground,City of Ballarat,Russell Square,Central,143.8851841,-37.55580559
Mount Helen,289082,2017/7/1,Playground - Sanctuary Bushland Reserve,PG-Playground,City of Ballarat,Sanctuary Bushland Reserve,South,143.8750731,-37.62972904
Mount Clear,36989,2003/1/1,Playground - Semillon Grove Reserve Mt Clear,PG-Playground,City of Ballarat,Semillon Grove Reserve,South,143.8688509,-37.59540367
Wendouree,248825,2014/11/18,Playground - Shaw Avenue Reserve Wendouree,PG-Playground,City of Ballarat,Shaw Avenue Reserve,North,143.8282657,-37.53580263
Canadian,284807,2017/2/1,Playground - Simone Court Park,PG-Playground,City of Ballarat,Simone Court Park,South,143.8646833,-37.58810401
Alfredton,254296,2015/5/1,Playground - Sorrento Drive Reserve Alfredton,PG-Playground,City of Ballarat,Sorrento Drive Reserve,Central,143.8093102,-37.56078938
Wendouree,262125,2014/5/23,Playground - Stamford Street Reserve Wendouree,PG-Playground,City of Ballarat,Stamford Street Reserve,North,143.8302762,-37.52892427
Miners Rest,118069,2011/1/1,Playground - Sunraysia Heights Neighbourhood Park,PG-Playground,City of Ballarat,Sunraysia Heights Neighbourhood Park,North,143.8035874,-37.49895706
Winter Valley,258897,2007/11/1,Playground - Lions Gate Reserve,PG-Playground,City of Ballarat,Lions Gate Reserve,South,143.8058994,-37.57936785
Redan,284808,2017/2/1,Playground - Trekado Park,PG-Playground,City of Ballarat,Trekardo Park,South,143.8371104,-37.57148262
Delacombe,220800,2013/6/1,Playground - Tyar Court Park,PG-Playground,City of Ballarat,Tyar Court Park,South,143.8291758,-37.58345442
Alfredton,271020,2004/1/1,Playground - Vale Street Reserve Alfredton,PG-Playground,City of Ballarat,Vale Street Reserve,Central,143.8156451,-37.55765408
Sebastopol,204501,2012/3/1,Playground - Vickers Tait Reserve,PG-Playground,City of Ballarat,Vickers Tait Reserve,South,143.8261556,-37.59333345
Newington,37025,2006/1/1,Playground - Plain Ave Victoria Park,PG-Playground,City of Ballarat,Victoria Park,Central,143.8271647,-37.56156389
Newington,272984,2016/3/1,Playground - (IPS) Elm Ave Victoria Park,PG-Playground,City of Ballarat,Victoria Park,Central,143.823494,-37.558349
Newington,272986,2016/3/1,Aquatic Playspace - (IPS) Elm Ave Victoria Park,PG-Aquatic Playspace,City of Ballarat,Victoria Park,Central,143.822685,-37.55809903
Sebastopol,262127,2014/5/23,Playground - Victoria Street Reserve Sebastopol,PG-Playground,City of Ballarat,Victoria Street Reserve,South,143.8337424,-37.59885425
Alfredton,37027,1995/1/1,Playground - Victory Avenue Reserve Alfredton,PG-Playground,City of Ballarat,Victory Avenue Reserve,Central,143.8088645,-37.55292088
Sebastopol,114602,2010/3/1,Fitness Equipment - Victory Park,PG-Exercise Equipment,City of Ballarat,Victory Park,South,143.8388033,-37.59295922
Sebastopol,136467,2011/6/13,Playground - (Karen Overington) Victory Park,PG-Playground,City of Ballarat,Victory Park,South,143.838256,-37.59298284
Sebastopol,136937,2010/3/1,Fitness Equipment - Victory Park (Near Toilets) Vickers St Sebastopol,PG-Exercise Equipment,City of Ballarat,Victory Park,South,143.8388067,-37.59313413
Sebastopol,262115,2016/1/13,Aquatic Playspace - Victory Park,PG-Aquatic Playspace,City of Ballarat,Victory Park,South,143.8384048,-37.59291141
Sebastopol,37031,1990/1/1,Playground - Wall Street Reserve Sebastopol,PG-Playground,City of Ballarat,Wall Street Reserve,South,143.8375056,-37.61085085
Black Hill,37032,2010/1/1,Playground - Walter Jones Reserve,PG-Playground,City of Ballarat,Walter Jones Reserve,Central,143.8644584,-37.55195912
Mitchell Park,284809,2017/2/1,Playground - Waltham Drive Reserve Mitchell Park,PG-Playground,City of Ballarat,Waltham Drive Reserve,North,143.8073362,-37.51978147
Wendouree,248826,2014/11/18,Playground - Walton Street Wendouree,PG-Playground,City of Ballarat,Walton Street Reserve,North,143.8416138,-37.52910783
Alfredton,37036,2002/1/1,Playground - Warwick Park,PG-Playground,City of Ballarat,Warwick Park,North,143.8022813,-37.55068677
Ballarat East,37039,2000/1/1,Playground - Webb Avenue Park Ballarat East,PG-Playground,City of Ballarat,Webb Avenue Park,Central,143.8708831,-37.5564793
Wendouree,37043,2003/1/1,Playground - Weeramar Park,PG-Playground,City of Ballarat,Weeramar Park,North,143.8228092,-37.53136888
Wendouree,38914,2009/6/12,Playground - Wendouree West Recreation Reserve,PG-Playground,City of Ballarat,Wendouree West Recreation Reserve,North,143.819543,-37.52563889
Ballarat Central,146762,2012/6/1,Playground - Western Oval Reserve,PG-Playground,City of Ballarat,Western Oval Reserve,Central,143.838382,-37.56591729
Delacombe,37054,2003/1/1,Playground - Woolway Court Reserve Delacombe,PG-Playground,City of Ballarat,Woolway Court Reserve,South,143.817426,-37.58735159
Mount Helen,37055,2011/1/1,Playground - Yarana Drive Park Mt Helen,PG-Playground,City of Ballarat,Yarana Drive Park,South,143.8750111,-37.62425006
Nerrina,37440,2008/8/1,Playground - Rampling Way Reserve Nerrina,PG-Playground,City of Ballarat,Rampling Way Reserve,North,143.8836348,-37.54179715
Brown Hill,252434,2014/11/1,Playground - Yarrawee River Reserve,PG-Playground,City of Ballarat,Yarrowee River Reserve,South,143.9166397,-37.54677157
Winter Valley,258066,2015/7/1,Playground - Yorkdale Central Park,PG-Playground,City of Ballarat,Yorkdale Estate Central Park,South,143.798408,-37.57941904
Alfredton,294821,2020/1/30,Playground - Alfredton Central Reserve,PG-Playground,City of Ballarat,Alfredton Central Reserve,South,143.792423,-37.556695
Brown Hill,277112,2014/11/1,Playground - Apple Orchard Drive Brown Hill,PG-Playground,City of Ballarat,Apple Orchard Drive,North,143.9165829,-37.546657
Ballarat Central,137204,2011/1/1,Playground - Bridge Mall Ballarat Central,PG-Playground,City of Ballarat,Bridge Mall,Central,143.862324,-37.56244356
Delacombe,301792,2020/6/26,Playground - Continuance Way Delacombe,PG-Playground,City of Ballarat,Continuance Way,South,143.812376,-37.592338
Alfredton,303579,2015/10/1,Playground - Insignia Boulevard,PG-Playground,City of Ballarat,Insignia Boulevard,North,143.809496,-37.548656
Magpie,311094,2021/9/30,,PG-Playground,Not Assessed,Yarrowee River Reserve,South,143.8628285,-37.56557712
